episode,return
841,-611.9712764003536
842,-585.0896816881727
843,-572.2790172218165
844,-530.1418627728291
845,-580.6109763157334
846,-504.0042162555715
847,-768.7694515751631
848,-778.4951806947905
849,-717.6909432205805
850,-592.2083745226117
851,-504.44175449986744
852,-626.2782749814006
853,-577.1895607969976
854,-538.3598584498866
855,-529.7980178662837
856,-653.4058208230132
857,-313.5904149363098
858,-485.20302312881074
859,-520.850453642634
860,-617.3709526130764
861,-481.0536855694115
862,-291.7907623489416
863,-651.4327767544744
864,-645.5763075687659
865,-533.1905900299652
866,-632.0296548789507
867,-461.25059135055636
868,-600.6784264708878
869,-654.3711301704841
870,-470.1216867865773
871,-584.5817580979166
872,-536.2464717787216
873,-527.2611747919269
874,-555.5910327990831
875,-594.9093991053227
876,-727.3929138902683
877,-468.72687960028503
878,-462.8499729838695
879,-644.145914993865
880,-584.306865037507
881,-467.40744975873133
882,-716.2583036370927
883,-602.8610781634536
884,-605.0358626119539
885,-751.3629895332205
886,-480.3747994226037
887,-426.49298922018863
888,-745.0804960713251
889,-706.6433346036704
890,-613.4396221478609
891,-635.4097193741057
892,-472.5143551341291
893,-425.41891583903373
894,-623.0091239744648
895,-548.807479049864
896,-737.2468707982331
897,-428.7433466348604
898,-652.9713332670962
899,-575.2777780680199
900,-645.0373937530119
901,-575.1132333644072
902,-314.5092097803399
903,-486.50458690774616
904,-593.6780268086638
905,-722.1913075231122
906,-576.1101921004318
907,-617.2529649117059
908,-611.5886076778343
909,-640.2827737984313
910,-480.8294800261272
911,-656.6968042329036
912,-612.0011869671788
913,-384.5632877012177
914,-635.0321977130122
915,-657.270498208985
916,-634.283712994265
917,-509.3501171255516
918,-624.2530439048452
919,-649.0848409810305
920,-550.2664789174752
921,-438.8412240682432
922,-599.2073114157969
923,-630.5440130740703
924,-715.4411773716831
925,-703.3790119310679
926,-494.5752125980222
927,-715.1944432978063
928,-528.1128893113979
929,-542.2682188948205
930,-715.8319777340834
931,-587.6671370135101
932,-720.3913633559183
933,-642.3117747320717
934,-474.3735513279858
935,-594.3915636407062
936,-551.1090449612859
937,-493.4637203960258
938,-590.1620155412791
939,-353.94208736062575
940,-436.24569767225773
941,-648.8117077276389
942,-714.9925262746227
943,-649.4731338142681
944,-624.0540341350436
945,-526.984922216755
946,-621.9034388452383
947,-487.15532040388683
948,-503.67260364883197
949,-456.46833383511785
950,-664.8650819370367
951,-663.2371314673555
952,-659.697775116723
953,-580.6620106442476
954,-741.6015984187691
955,-484.5768722037679
956,-501.1561515943119
957,-702.1920951955806
958,-646.6268475400408
959,-391.02694324562583
960,-710.6143965146883
961,-611.0269318767075
962,-386.1552444349519
963,-337.10138208927924
964,-342.91147425496206
965,-185.39465048664323
966,-492.67345260704883
967,-633.1996283743028
968,-625.9201463616112
969,-730.4453255753044
970,-614.4938381936972
971,-460.56446563422526
972,-586.4184054508729
973,-698.2037143415467
974,-588.7579372179056
975,-615.3673138320584
976,-513.202404746037
977,-662.9690015322258
978,-261.43723516687766
979,-297.7015182586547
980,-686.186478271227
981,-408.4733651430342
982,-589.2614013422805
983,-517.3079790337137
984,-578.7212260915157
985,-418.7396973273901
986,-680.6615007854076
987,-716.318545033365
988,-648.2236308618703
989,-488.8103559419062
990,-659.3617903081857
991,-762.6221569777092
992,-432.56493287860474
993,-642.7134079042733
994,-595.6852235755897
995,-741.2949612768111
996,-420.1253881673065
997,-623.7673632108597
998,-667.906860822558
999,-611.3407725514023
1000,-527.7664249345415
